arm,workers,users,trial,label,turns,throughput_req_min,steady_state_req_min,p50_ms,p95_ms,requests,errors,error_rate,invalid,py_samples_per_turn,mem_start_mb,mem_peak_mb,mem_growth_mb,load_seconds,wall_seconds,queries
baseline,1,16,1,baseline_w1_u16_t1,78,12.9,12.6,58660,95167,77,0,0.0,False,260.9,1562.0,1808.0,246.0,300,363,10
baseline,1,16,2,baseline_w1_u16_t2,82,13.6,13.2,56445,93475,81,0,0.0,False,247.7,1847.0,1864.0,17.0,300,361,10
baseline,1,16,3,baseline_w1_u16_t3,75,12.3,11.8,63193,105489,74,0,0.0,False,274.4,1831.0,1840.0,9.0,300,365,10
baseline,1,32,1,baseline_w1_u32_t1,94,13.1,12.6,114635,190507,93,0,0.0,False,216.2,1839.0,2117.0,278.0,300,429,10
baseline,1,32,2,baseline_w1_u32_t2,76,11.0,9.0,151832,213458,75,0,0.0,False,268.2,2123.0,2357.0,234.0,300,413,10
baseline,1,32,3,baseline_w1_u32_t3,81,12.3,9.8,130724,222750,80,0,0.0,False,252.8,2264.0,2322.0,58.0,300,396,10
baseline,1,8,1,baseline_w1_u8_t1,74,13.4,13.4,27427,51685,73,0,0.0,False,267.8,1084.0,1575.0,491.0,300,332,10
baseline,1,8,2,baseline_w1_u8_t2,70,13.1,12.4,28367,56402,69,0,0.0,False,287.5,1543.0,1560.0,17.0,300,321,10
baseline,1,8,3,baseline_w1_u8_t3,73,13.2,13.0,28776,50261,72,0,0.0,False,273.5,1544.0,1592.0,48.0,300,331,10
baseline,2,16,1,baseline_w2_u16_t1,122,21.9,21.4,33491,70115,121,0,0.0,False,330.2,2983.0,3255.0,272.0,300,335,10
baseline,2,16,2,baseline_w2_u16_t2,121,21.2,21.4,36388,65296,120,0,0.0,False,335.0,3229.0,3280.0,51.0,300,342,10
baseline,2,16,3,baseline_w2_u16_t3,132,24.6,23.4,31196,62449,131,0,0.0,False,301.3,3133.0,3303.0,170.0,300,322,10
baseline,2,32,1,baseline_w2_u32_t1,128,20.2,19.4,76300,128534,127,0,0.0,False,320.2,3302.0,3805.0,503.0,300,380,10
baseline,2,32,2,baseline_w2_u32_t2,130,21.7,20.2,72147,115338,129,0,0.0,False,316.6,3527.0,3792.0,265.0,300,360,10
baseline,2,32,3,baseline_w2_u32_t3,138,20.9,21.2,63221,160095,137,0,0.0,False,292.0,3707.0,3837.0,130.0,300,396,10
baseline,2,8,1,baseline_w2_u8_t1,100,19.4,19.0,20145,39339,99,0,0.0,False,340.8,2139.0,2978.0,839.0,300,309,10
baseline,2,8,2,baseline_w2_u8_t2,110,20.8,20.4,17897,32606,109,0,0.0,False,324.5,2983.0,3140.0,157.0,300,318,10
baseline,2,8,3,baseline_w2_u8_t3,107,20.6,20.0,17929,34200,106,0,0.0,False,325.6,3095.0,3100.0,5.0,300,311,10
baseline,4,16,1,baseline_w4_u16_t1,167,31.6,30.8,22583,49731,166,0,0.0,False,454.9,5542.0,5861.0,319.0,300,317,10
baseline,4,16,2,baseline_w4_u16_t2,162,29.5,29.4,24330,49910,161,0,0.0,False,454.1,5812.0,5962.0,150.0,300,329,10
baseline,4,16,3,baseline_w4_u16_t3,165,29.3,30.0,24705,48550,164,0,0.0,False,469.3,5984.0,6067.0,83.0,300,338,10
baseline,4,32,1,baseline_w4_u32_t1,172,30.0,28.2,50132,103446,172,0,0.0,False,460.7,6014.0,6430.0,416.0,300,344,10
baseline,4,32,2,baseline_w4_u32_t2,175,31.2,28.8,51062,90609,174,0,0.0,False,489.4,6322.0,6477.0,155.0,300,336,10
baseline,4,32,3,baseline_w4_u32_t3,191,32.5,31.8,40728,109245,190,0,0.0,False,433.4,6461.0,6601.0,140.0,300,353,10
baseline,4,8,1,baseline_w4_u8_t1,125,23.7,23.6,15520,29054,124,0,0.0,False,396.1,4178.0,5611.0,1433.0,300,317,10
baseline,4,8,2,baseline_w4_u8_t2,134,25.7,25.6,13925,26502,133,0,0.0,False,362.4,5625.0,5715.0,90.0,300,313,10
baseline,4,8,3,baseline_w4_u8_t3,129,24.3,24.6,14456,29607,128,0,0.0,False,386.3,5680.0,5699.0,19.0,300,318,10
current,1,16,1,current_w1_u16_t1,98,17.8,16.6,41498,76503,97,0,0.0,False,201.2,1667.0,1842.0,175.0,300,330,10
current,1,16,2,current_w1_u16_t2,99,17.4,16.8,46797,74934,98,0,0.0,False,197.9,1827.0,1841.0,14.0,300,342,10
current,1,16,3,current_w1_u16_t3,97,17.7,16.2,41440,79537,97,0,0.0,False,202.2,1816.0,1858.0,42.0,300,329,10
current,1,32,1,current_w1_u32_t1,110,17.4,16.2,87270,143173,109,0,0.0,False,180.3,1835.0,2207.0,372.0,300,379,10
current,1,32,2,current_w1_u32_t2,109,18.7,15.6,87948,139743,108,0,0.0,False,181.0,2142.0,2323.0,181.0,300,349,10
current,1,32,3,current_w1_u32_t3,115,18.2,16.6,79804,144270,114,0,0.0,False,170.5,2321.0,2321.0,0.0,300,379,10
current,1,8,1,current_w1_u8_t1,95,17.7,17.6,20860,36828,94,0,0.0,False,198.1,1083.0,1654.0,571.0,300,322,10
current,1,8,2,current_w1_u8_t2,94,17.7,17.2,21972,37215,93,0,0.0,False,201.9,1630.0,1640.0,10.0,300,318,10
current,1,8,3,current_w1_u8_t3,100,18.7,18.4,20922,37242,99,0,0.0,False,188.4,1640.0,1739.0,99.0,300,321,10
current,2,16,1,current_w2_u16_t1,143,26.7,25.6,28125,65093,142,0,0.0,False,251.0,3092.0,3280.0,188.0,300,321,10
current,2,16,2,current_w2_u16_t2,160,29.2,29.2,26543,57691,159,0,0.0,False,222.8,3280.0,3297.0,17.0,300,329,10
current,2,16,3,current_w2_u16_t3,160,30.0,28.8,23684,54993,159,0,0.0,False,221.6,3288.0,3432.0,144.0,300,320,10
current,2,32,1,current_w2_u32_t1,180,29.4,29.6,51089,96035,179,0,0.0,False,220.9,3263.0,3645.0,382.0,300,367,10
current,2,32,2,current_w2_u32_t2,176,30.4,28.6,52350,112834,175,0,0.0,False,217.1,3646.0,3789.0,143.0,300,347,10
current,2,32,3,current_w2_u32_t3,171,29.7,27.8,52051,102672,170,0,0.0,False,232.1,3716.0,3888.0,172.0,300,346,10
current,2,8,1,current_w2_u8_t1,137,24.9,26.0,12949,27931,136,0,0.0,False,217.1,2147.0,2980.0,833.0,300,330,10
current,2,8,2,current_w2_u8_t2,131,25.0,24.8,14317,26204,130,0,0.0,False,226.7,2935.0,3105.0,170.0,300,315,10
current,2,8,3,current_w2_u8_t3,134,25.5,25.2,14568,23996,133,0,0.0,False,219.6,3056.0,3128.0,72.0,300,315,10
current,4,16,1,current_w4_u16_t1,212,39.6,39.2,19215,34042,211,0,0.0,False,306.5,5828.0,5896.0,68.0,300,321,10
current,4,16,2,current_w4_u16_t2,222,41.9,42.2,16949,31621,221,0,0.0,False,298.3,5837.0,6052.0,215.0,300,318,10
current,4,16,3,current_w4_u16_t3,219,41.6,41.2,17470,33147,218,0,0.0,False,301.1,5963.0,6050.0,87.0,300,316,10
current,4,32,1,current_w4_u32_t1,220,40.1,37.8,34401,108361,219,0,0.0,False,354.5,6019.0,6357.0,338.0,300,329,10
current,4,32,2,current_w4_u32_t2,217,39.0,37.4,38589,90113,216,0,0.0,False,373.0,6373.0,6715.0,342.0,300,334,10
